example_id,customer_text,good_reply_elements,agent_draft,retrieved_evidence,human_correctness,human_groundedness,human_completeness,human_brand_voice,human_tone,human_notes
41,@AppleSupport what’s with ios11.0.3?Sluggish performance.Increased battery usage.Get trapped in apps &amp; cant get out.Mixed Reboot results.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,"We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@576632 We're here to help. What applications are you using when you're experiencing these things? DM us back to continue. https://t.co/GDrqU22YpT"", ""@294071 That's not the experience we want you to have. Follow us to DM and we'll take a closer look at this. https://t.co/GDrqU22YpT"", ""@546638 Let’s team up to get this addressed. How long has this been happening? Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT""]",,,,,,
115,"@AppleSupport I have an iPhone 7 running 11.1.2 with massive battery issue (battery was fine on 10.x). In 1h28m of use (mostly Safari, no video), I have dropped 25%. See attached. Could it have anything to do with brand new Apple watch 3 with cellular? https://t.co/BvXwHL2vqF",- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@740960 Great, thank you. Now if you're still using that older software version, we'd first recommend getting the device up to date. Back up your data and then you can update in Settings &gt; General &gt; Software Update. Let us know if the issue still occurs afterwards."", ""@657136 When you set up the iPhone X, did you restore from a previous backup? If so, have you been connected to a known good Wi-Fi connection since restoring?\n\nWhere are you seeing the restoring media message?"", ""@509562 We want your keyboard working for you; we'll do all we can to help. Connect with us in DM and we'll get started: https://t.co/GDrqU22YpT""]",,,,,,
44,@AppleSupport Photo,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"[""@258354 Does this happen in other photo modes? Also, is this only happening with the Camera app or are third-party apps experiencing the same issue?"", ""@128327 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT"", ""@520794 We're here to help. Send us a DM with your device and we'll be more than happy to troubleshoot what's going on with your iPhone. https://t.co/GDrqU22YpT""]",,,,,,
166,@AppleSupport I appreciate ur help :)),- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@346602 You're welcome."", ""@516062 We're happy to help any time! Don't hesitate to reach out to us with any questions in the future."", ""@711210 No problem! We're happy to help.""]",,,,,,
146,Ok @115858 you really need to get it together with this question mark box shit,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@631884 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9"", ""@598567 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT"", ""@526419 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9""]",,,,,,
10,"@AppleSupport Tuesday evening I spent over 4 hours visiting your Meadowhall store, travelling over 100 miles, to pick a new iPhone X reserved for my wife. Imagine our disappointment to be told that you did not have a phone for her even after she’d received a confirmation text!!",- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@631306 This is not an experience we want you to have. We'd like to get more info. Let's meet in DM. https://t.co/GDrqU22YpT"", ""@432721 You can log in using this link to check orders: https://t.co/drll0fQgxk"", ""@435515 We'll want to have you reach out to our Sales Support Advisors here:  https://t.co/8yjRd1Xo0i They can look into this with you.""]",,,,,,
152,@AppleSupport How do I permanently switch off the ‘Live Photo’ and permanently keep on HDR? They both keep resetting after I have used my camera it’s so frustrating 😡,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"[""@767422 Hello there. We're here to help. Live Photos is on by default. Once you turn off your Live Photos in your Camera, you can then preserve your Camera settings so that Live Photos is always on or off. Go to Settings &gt; Camera &gt; Preserve Settings."", ""@381848 Great question. You would go to Settings &gt; Camera &gt; Preserve Settings and turn on Live Photos. Then go in to the Camera app and turn off the Live Photos option."", ""@141452 This article will show you how to turn off Live Photos: https://t.co/C3E4kiTqdx\n\nCan you describe how you are turning off flash?""]",,,,,,
114,"The phone’s touchscreen literally did not work and touched everything by itself like crazy just after 10 minutes after activating the iPhone X. Finally it ended up unresponsive. I paid $1,490 for this piece of rock??? @AppleSupport",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@257381 Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT"", ""@236697 At Settings &gt; General &gt; About &gt; Available, how much space is showing? Let us know in DM. https://t.co/GDrqU22YpT"", ""@137645 No worries. Next, we're going to boot into macOS Recovery.  This article explains the process: https://t.co/dwZ2UVMxdg From there, we can use Disk Utility, to check the health of your startup disk. DM us if you have questions or need help with this step. https://t.co/GDrqU22YpT""]",,,,,,
62,"Hey @AppleSupport, screen just popped off all of a sudden, clean fracture all around. Never dropped, no issues whatsoever up to now. Is this documented? Other cases? Battery seems inflated some, but cannot say for sure. https://t.co/Zwz0jTRIcZ",- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@259779 We want to look into your options with you. Here's a link to DM us. https://t.co/GDrqU22YpT"", ""@573867 We're here to help. That is a fraudulent popup. You can learn how to control those here: https://t.co/qr0pQfKgYD https://t.co/GDrqU22YpT"", ""@723897 Let's look into this a little deeper. DM us and we'll continue with you there. https://t.co/GDrqU22YpT""]",,,,,,
79,@AppleSupport I accidentally bought an app for £6.99 but it was an accident. Pls help refund this???,- Direct customer to reportaproblem.apple.com to review purchase history; outline refund request process; explain subscription cancellation steps.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=billing_app_store)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@130038 We're happy to help. Take a look here: https://t.co/A5QhKRZhQQ"", ""@346240 Can you shoot us a DM please? We will gather more information there. https://t.co/GDrqU22YpT"", ""@612872 Thank you for reaching out to us. You can use the steps here for help with that purchase: https://t.co/A5QhKRZhQQ""]",,,,,,
53,@AppleSupport @115858 your iOS 11.2 just screwed my phone. Can’t even factory reset because it won’t connect to iCloud. DON’T update your devices to this new piece of shite! Phone is getting really hot and draining battery fast!,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,"We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@249918 We're happy to help. What happens when you try to connect to iCloud? Are you getting an error message? Are you currently connected to your home Wi-Fi network?"", ""@301235 We know how important it is to be able to rely on you iPhone. Please send us a DM. We'd like to help. https://t.co/GDrqU22YpT"", ""@769302 Thanks for reaching out about your iPhone 7. We'll help get to the bottom of what you're encountering. Are you receiving any type of error message in iTunes when this happens? Can you tell us which step the restore is one when it happens?""]",,,,,,
25,@AppleSupport Sent a DM. please help,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@199286 We see your DM and will reply there shortly."", ""@422990 Thank you. We have received your DM's. We will work with you there."", ""@483878 We received your message in DM. We'll continue there.""]",,,,,,
109,@AppleSupport Thank you. So after the account recovery is successful I should be able to log her into a new iPhone? Her phone was lost so I'm trying to transfer service to another one.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@460161 Great question! Once the Account Recovery process has completed, you’ll be able to access her account so you can make changes and sign in on her new device."", ""@622801 We'd like to look into this with you! Join us in DM with your location. https://t.co/GDrqU22YpT"", ""@202720 Thanks for reaching out. Please DM us which iPhone is having the issue. We'll start there. https://t.co/GDrqU22YpT""]",,,,,,
52,I’m tired of seeing these damn boxes @115858 fix this NOW https://t.co/r2E1xiIuBv,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@624320 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9"", ""@529114 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9"", ""@533353 We want to help. DM us here: https://t.co/GDrqU22YpT""]",,,,,,
191,"@AppleSupport iphone7+ crashing apps and restarting every minute, since your update. Sort it out",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@258316 We're glad you reached out to us. We just released iOS 11.2 which should help with your issues. Let's go through the steps in the following article and DM us if you're still having problems: https://t.co/osZOKKTalm We'll be here for you. https://t.co/GDrqU22YpT"", ""@183378 Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version."", ""@174689 Thanks! Are you using the Podcast app and the Music app to listen to your downloaded content? Let us know in DM. https://t.co/GDrqU22YpT""]",,,,,,
12,Ever since I updated my phone my apple music don’t work. Wtf is the problem @115858,- Inquire whether issue occurs on downloaded vs streamed music; recommend toggling iCloud Music Library / Sync Library; suggest reinstalling Music app.,"We want to make sure you can enjoy your music seamlessly. Try toggling iCloud Music Library off and on in Settings, and restart your device. Reach out in DM if you need further help: https://t.co/GDrqU22YpT","[""@179843 We want you to enjoy Apple Music and we'd like to help. To start, what happens when you try to access Apple Music?"", ""@195604 Let's take a look at this together. What happens when you launch the Music app?"", ""@261482 Let's get that music back so you can continue to enjoy it. What happens when you go to your Music app? Do you see any songs? Is iCloud Music Library enabled: https://t.co/9VQ9VywZJ2?""]",,,,,,
68,@AppleSupport needs to get it together and fix the question mark boxes that I keep seeing!,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@505953 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9"", ""@504032 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9"", ""@306753 We want to make sure your Messages are working correctly. Were you replying from a notification or the Messages app?""]",,,,,,
119,"@AppleSupport Really, still? https://t.co/tNEltaT3Jt",- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@600741 We'd like to look into this with you. Please DM us more about the issue and any troubleshooting you've already tried. https://t.co/GDrqU22YpT"", ""@710711 We're glad you reached out to us. We can definitely help. This email looks like a phishing attempt. We'd recommend looking at the following article for tips on identifying and reporting this type of message: https://t.co/LNMCdqt6fD"", ""@662410 We want to help. Were you just in an application while your device was being held in this orientation? What's the exact iOS software being used? Does restarting your device make any difference?""]",,,,,,
113,My work computer crashed twice in an hour already!!! @AppleSupport fix ya shit!,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@267202 We'd be glad to look into this with you. Meet up with us in DM with as many details as you can, and we'll get started working on solutions. https://t.co/GDrqU22YpT"", ""@760782 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6"", ""@447671 We can help out. What's happening when you try to update? Do you receive an error?""]",,,,,,
