golden_id,customer_text,draft_reply,retrieved_replies,human_correctness,human_groundedness,human_completeness,human_brand_voice,human_tone
130,"@AppleSupport @115725 @VerizonSupport  my iPhone X has been ""reserved""...what does this mean",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@406607 Our Online Sales Support would be best suited to assist you. You can reach them here: https://t.co/8yjRd1Xo0i', ""@188300 We'll be glad to look into this with you. Send us a DM and we'll get started. https://t.co/GDrqU22YpT"", ""@144547 We want to help. DM us and we'll work from there. https://t.co/GDrqU22YpT""]",,,,,
133,@115858 WAIT I️ FIXED IT,We're aware of this keyboard autocorrect issue and working on a permanent update. You can temporarily resolve it via Settings > General > Keyboard > Text Replacement. Send us a DM if you need guidance: https://t.co/GDrqU22YpT,"['@672983 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. Follow the steps here: https://t.co/80YRnjDFDk', '@499241 No problem. Don’t hesitate to reach out in the future. Take care.', ""@396888 That's great to hear they helped you fix it! Just reach out if you need help again and have a good one.""]",,,,,
135,@AppleSupport Both. It no longer will connect through USB at all. It connects via BT but it will not play through the speakers.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@536668 Let's take a closer look into this. DM us the exact OS version and we'll go from there. https://t.co/GDrqU22YpT"", '@680800 Thank you. We know Internet speeds should be optimal on mobile devices. Can you let us know how you determined the speed; are pages loading slow, or did you compare speed test? Also, can you let us know the device you are using? Send us a DM. https://t.co/GDrqU22YpT', ""@771388 Alright, got it. DM us next and we'll be able to look at this more with you.""]",,,,,
136,@AppleSupport good morning I have a problem with resetting my Apple ID,We'd like to help you regain access to your account securely. You can reset your password at iforgot.apple.com. Feel free to DM us if you run into any trouble: https://t.co/GDrqU22YpT,"[""@668675 We'd love to help! What kind of trouble are you having?"", ""@701055 If you'd like to walk through troubleshooting steps to work towards a resolution. Let us know in a DM what iOS version is running on the device and we'll start from there."", '@175093 Sorry for the confusion.  We were asking if you subscribe to Apple Music.  This will let  us know how to move forward.']",,,,,
138,@AppleSupport Is there any reason I wouldn't be able to restore a backup from my up to date 7+ to my new iphone X? Using iTunes on a PC.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@681212 The iPhone X is exciting, and we're glad to do all we can to help. The steps here will help with restoring your backup through iTunes from your iPhone 7 Plus to your iPhone X: https://t.co/0zHmsKhraO"", ""@404732 Let's get your charging back to the speeds you expect. Let us know via DM when you first saw this issue, then we can help. https://t.co/GDrqU22YpT"", '@662580 Thanks for letting us know. Looks like you have an iPhone 5. The iOS 11 software is compatible with the iPhone 5s and above. For a full list of compatible devices, please look at the bottom of this link: https://t.co/LVMJqqcDhs']",,,,,
140,Just confused why @115858 charged me $15 🤔like wtf .. I didn’t purchase anything,We can help point you in the right direction for billing inquiries. You can review your purchase history and request refunds at reportaproblem.apple.com. Let us know in DM if you have questions: https://t.co/GDrqU22YpT,"['@695380 We can help point you in the right direction. Do you see a description next to the charge?', ""@622428 Hate to hear you're having trouble. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT"", '@317406 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz']",,,,,
141,um @AppleSupport @115948 can someone explain why an album I preordered and purchased is no longer in my library and doesn’t let me play anything other than previews,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@656907 We can help. Open the iTunes Store app and then hit the More icon (...). From there, tap Purchased and Music. and then Tap ""Not on This [device]."" Do you see the album there? \n\nClick here for a walkthrough: https://t.co/I39AyMJNgb', '@449194 We can help. DM and tell us what version of iOS you see under Settings &gt; General &gt; About &gt; Version. https://t.co/GDrqU22YpT', '@723899 It looks like Siri is giving you the date for Canadian Thanksgiving. Are you currently traveling there or have your location set to Canada?']",,,,,
142,"@AppleSupport iOS 11.0.3, 6 won’t give me best route to/from work/home when connecting to car’s BT, even with DND off.",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@425112 Let's help take a closer look. Does the same behavior happen when not connected via Bluetooth?"", '@386628 Are you using the Apple Maps app? Does it show your current location when opening the Map?', ""@313802 Thanks, the first thing we'd recommend is getting your device up to date. You can update in Settings &gt; General &gt; Software Update.""]",,,,,
143,@115858 I am pretty sick of having to charge my phone sometimes three times  a day since the IOS 11 update. When will this be fixed?????,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@501099 We'd be happy to help. Check out these steps to see if they help: https://t.co/bivpdfBNJ6"", '@599174 We’d like to help. Which iPhone model &amp; iOS version are you using? Let us know in a DM. We’ll communicate there: https://t.co/GDrqU22YpT', '@473496 We can provide you more insight in Direct Message. Click on the link below please. https://t.co/GDrqU22YpT']",,,,,
144,Customer service at the @115858 store in Naperville is awful,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@546835 We want you to have a good experience when visiting an Apple Store. DM us with details, and we'll look into it together. https://t.co/GDrqU22YpT"", ""@261489 We'd like to know more. DM us the details and we'll go from there. https://t.co/GDrqU22YpT"", '@435272 We want any Apple experience you have to be a great one. Please provide us with additional details in DM. https://t.co/GDrqU22YpT']",,,,,
145,"Thank you @AppleSupport for making my iPhone 6 useless after the new iOS 11.0.3 update. It's actually worse than 11.0.2 and 11.0.1. Screen unresponsive, terribly slow, apps crashing, phone screen rotating randomly. The only fast thing is the battery draining!","We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@624606 Hi. We are here to help. Send us a DM, and we'll take a look into this. https://t.co/GDrqU22YpT"", ""@220765 If you're having issues with your iPhone on iOS 11, we'd like to help. Send us a DM with details of what is going on. https://t.co/GDrqU22YpT"", '@596641 Let’s work together on this behavior. How long has this been happening? Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT']",,,,,
